1,319,5
1,644,2
1,1527,9
4,333,17
3,803,13
3,1904,7
5,1107,25
3,1467,2
4,2151,7
4,2743,16
5,1918,4
9,2664,74
7,1165,26
6,1296,8
6,1496,14
6,2941,4
7,581,9
8,669,13
7,1653,5
7,2070,4
7,1098,5
8,1176,12
8,1821,9
10,1846,28
8,2103,3
9,2289,14
10,1759,16
9,2147,7
10,1600,6
10,1116,1
11,1755,4
11,2521,4
12,416,7
13,1572,11
11,1682,2
12,2528,6
12,1419,6
14,2426,9
16,1946,9
18,977,18
18,1656,10
17,1971,4
20,384,41
18,667,4
17,1384,1
17,1440,1
20,2809,4
23,2889,51
20,901,1
21,1360,10
21,1390,12
21,1847,7
20,2106,1
21,2378,7
21,101,6
22,1519,2
22,290,5
24,874,10
24,1581,15
23,2143,12
23,2809,4
23,1570,2
26,1042,13
26,2060,17
25,2317,17
27,2546,21
25,1226,1
26,1335,2
26,2260,4
28,127,5
27,369,4
28,767,23
28,1870,24
28,1988,22
26,2938,3
26,2950,2
28,2180,10
28,472,2
29,1360,9
29,1669,8
28,1943,2
29,690,2
31,1279,16
31,2073,101
31,882,5
31,812,6
33,1137,12
32,1492,8
33,2227,23
34,1029,16
34,1535,25
34,1796,6
34,2401,9
34,2466,4
34,205,2
36,1363,6
35,1734,2
36,3155,4
37,1234,7
38,1725,20
36,2027,1
36,2063,1
38,222,3
39,628,10
39,980,3
39,1384,4
41,2220,33
39,2229,5
39,2830,2
42,881,9
41,982,1
41,1659,1
47,2018,80
44,579,36
43,762,10
42,1463,2
46,261,16
44,595,8
44,1687,6
45,2369,19
44,2439,2
44,1498,1
46,1865,15
45,2434,6
45,2497,12
46,2321,6
46,2391,5
47,2764,11
47,1425,6
47,2589,11
48,159,8
48,285,1
49,1560,2
50,2178,18
50,2284,17
51,964,17
51,588,7
51,1381,16
51,2718,6
52,757,4
51,1313,1
51,1407,5
53,2010,13
52,1767,1
54,1962,16
52,2312,2
54,175,5
53,509,3
53,573,1
53,1065,1
56,1641,17
56,2074,3
56,2231,3
55,2633,1
57,1124,7
57,2102,11
58,2323,12
57,3087,2
58,672,4
59,775,13
58,1631,11
58,1904,8
59,1992,25
59,2621,32
59,1271,15
61,1814,35
59,2639,10
59,1935,1
61,2133,4
61,2332,5
62,2632,8
62,437,6
62,1459,6
63,1685,4
64,3065,16
65,1099,8
67,344,13
65,417,1
66,1167,8
66,1273,11
65,1478,5
67,1591,12
69,391,26
68,717,21
67,1728,4
68,1918,13
67,2091,12
69,640,13
69,441,6
68,1645,1
70,269,6
69,854,1
69,1771,1
69,2307,2
71,2373,12
71,233,9
71,890,4
71,1526,6
71,2245,4
71,460,2
72,871,5
73,1502,18
73,1516,34
71,1556,2
73,2194,18
74,1668,18
73,2017,8
72,2240,1
73,2609,7
74,1606,4
74,1851,8
74,1982,8
73,2509,3
75,197,3
76,508,17
76,1368,16
76,2460,16
77,2209,16
75,2583,7
77,1018,10
79,1099,38
77,1502,1
78,1456,2
79,1748,7
79,1765,6
79,2227,6
79,2634,4
80,1178,5
80,1287,6
81,1327,28
81,1925,21
80,618,1
81,2855,10
81,2599,2
82,2802,3
81,3019,2
83,396,7
84,2449,18
84,35,4
83,547,1
84,989,5
84,3122,6
84,691,1
86,813,16
85,1216,14
84,1713,1
86,1864,15
85,2226,2
88,1045,27
88,3151,33
86,313,1
89,762,35
86,1667,3
87,1830,10
86,2215,2
87,500,2
87,714,6
88,1335,12
88,1913,15
89,911,4
90,1062,32
89,887,2
90,1537,8
90,1720,9
90,2330,7
91,855,3
91,1757,6
90,2090,3
92,2442,19
92,467,4
91,684,1
92,959,10
95,1172,30
92,1745,6
93,422,2
92,1596,1
94,1619,26
93,1703,4
94,2499,24
94,671,6
94,953,2
93,1178,1
95,2179,12
95,2189,13
94,232,1
94,639,2
95,1995,7
96,2652,13
96,2841,14
96,1888,14
96,1949,12
95,1977,1
97,177,7
98,261,16
96,1437,1
